                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.40397,                0.34355,                0.91227,                0.72279,                0.68564,                0.71309,                0.54514,                 0.9201,                 1.1809,                 1.2916,             0.00016491,             0.00016491,             0.00016491
                      2,                0.43979,                0.36504,                 0.9234,                0.69979,                0.65263,                0.67799,                0.50296,                0.96563,                 1.2482,                 1.2957,             0.00032501,             0.00032501,             0.00032501
                      3,                0.47294,                0.40576,                 0.9379,                  0.683,                 0.6796,                0.68172,                0.50636,                0.99715,                 1.3009,                 1.3353,             0.00047852,             0.00047852,             0.00047852
                      4,                0.49255,                0.43297,                0.95535,                0.70836,                0.63344,                0.66499,                0.48908,                0.98731,                 1.1825,                 1.3282,              0.0004703,              0.0004703,              0.0004703
                      5,                0.49438,                0.43495,                0.94933,                0.75841,                0.62982,                0.69768,                0.50737,                0.98665,                 1.1854,                 1.3098,              0.0004604,              0.0004604,              0.0004604
                      6,                0.49182,                0.42533,                0.94647,                0.74289,                0.62931,                0.66394,                0.48943,                0.98966,                 1.2441,                 1.3382,              0.0004505,              0.0004505,              0.0004505
                      7,                0.48352,                0.41564,                0.94322,                0.73837,                0.60728,                0.65066,                0.47101,                 1.0205,                 1.2805,                 1.3351,              0.0004406,              0.0004406,              0.0004406
                      8,                0.49241,                0.42918,                0.95247,                0.72022,                0.63666,                0.67808,                0.50665,                0.99047,                 1.2516,                 1.3337,              0.0004307,              0.0004307,              0.0004307
                      9,                0.48561,                0.41292,                0.94687,                0.70833,                0.68408,                0.69093,                0.50061,                0.98832,                 1.1441,                 1.3349,              0.0004208,              0.0004208,              0.0004208
                     10,                0.47281,                0.40215,                 0.9411,                0.70709,                 0.6452,                0.66912,                0.49761,                0.99709,                 1.3241,                 1.3292,              0.0004109,              0.0004109,              0.0004109
